AU,Description,State,Status
2102,761 Milford,WI,0
2106,Wakoka 1 - 1316,WI,0
2106,Wakoka 1 - 1318,WI,0
2107,Wakoka 2 - 1320,WI,0
2107,Wakoka 2 - 1322,WI,0
2109,Fairfield,WI,0
2110,East Haven,WI,0
2113,Madison,WI,0
2114,Monroe,WI,0
2140,Stoneridge,WI,0
2214,Fond du Lac - 37,WI,0
2214,Fond Du Lac - 43,WI,0
2219,O'Connell,WI,0
2220,Eggelston,WI,0
2250,East Haven 1,WI,0
2251,East Haven 2,WI,0
2252,Concord 1,WI,0
2253,Concord 2,WI,0
2254,Milford,WI,0
2256,Clovercrest,WI,0
2258,Eichstaedt,WI,0
3100,IN Regional Office,IN,0
3101,Oswego 2,IN,0
3105,Rothman B,IN,0
3106,Oswego 1,IN,0
3107,Huguenard,IN,0
3108,Abernathy,IN,0
3111,Forestview,IN,0
3112,Grafton,IN,0
3112,Garden Club 2,IN,0
3113,Vitiano,IN,0
3114,Tapered Bank Run,IN,0
3117,Rothman A,IN,0
3121,Troutwood,IN,0
3124,Queenboro,IN,0
3125,Twelfth Night,IN,0
3126,Merlin,IN,0
3126,Garden Club 1,IN,0
3128,Breckenridge,IN,0
3129,Alexander,IN,1
3137,Fiesta Way,IN,0
3158,Mockingbird,IN,0
3162,"North 16th ",IN,1
3163,Green Acre,IN,0
3164,Sandalwood,IN,0
3165,Valpo,IN,0
3166,Franciscan,IN,0
3183,Copeland,IN,0
3192,Trinity Park,IN,0
3194,Meadow Lake,IN,0
3195,Park,IN,0
3197,Port,IN,1
3200,MI Administrative Office,MI,1
3201,Caledonia,MI,1
3202,Frankenmuth,MI,1
3203,Franklin,MI,1
3205,Fox Wood,MI,1
3300,NJ Administrative Office,NJ,1
3301,Pompton Lakes,NJ,1
3302,Oakland,NJ,1
3303,Dumont,NJ,1
3305,Montville,NJ,1
4000,IL Regional Office,IL,0
4119,Michigan Ave CILA,IL,0
4120,Hankes CILA - 1774,IL,0
4121,Hance CILA - 1774,IL,0
4121,Hance CILA - 1776,IL,0
4123,Navajo CILA,IL,0
4131,Oak CILA,IL,0
4132,Walnut CILA,IL,0
4133,Thornapple CILA,IL,0
4134,Courtney CILA,IL,0
4135,Spring CILA,IL,0
4136,Oakland CILA,IL,0
4137,Allister CILA,IL,0
4139,Woodmere CILA,IL,0
4141,Eastern CILA,IL,0
4150,IL CENTRAL ADMINISTRATION,IL,1
4152,Sherman CILA,IL,0
4154,Latigo CILA,IL,0
4156,Phlox CILA,IL,0
4157,Hosta CILA,IL,0
4159,Sandy Lane CILA - 2912,IL,0
4159,Sandy Lane - 2914,IL,0
4160,Garvey CILA - 620,IL,0
4160,Garvey CILA - 622,IL,0
4161,Magnolia CILA - 1606,IL,0
4161,Magnolia CILA - 1608,IL,0
4163,Diana Taft Host Home,IL,0
4182,Driftwood ISL,MO,1
4183,Dan Court ISL,MO,1
4184,Casa Royale ISL,MO,1
4186,Esterling ISL,MO,0
4189,Amberglow ISL,MO,1
4190,MO Administrative Office,MO,1
4193,Maryville GH,MO,1
4196,Radnor ISL,MO,1
4199,Kimberly ISL,MO,1
4200,KS Administrative Office,KS,1
4220,Options Day Program,KS,1
4252,Olathe 1,KS,1
4253,Olathe 2,KS,1
4255,Gardner 1,KS,1
4257,Gardner 2,KS,1
4260,Clarion Park Apartments - Apt F JE,KS,1
4260,Clarion Park Apartments - Apt E,KS,1
4263,Wenonga,KS,0
4264,Prairie Village,KS,1
4265,Merriam 1,KS,0
4265,Merriam 2,KS,0
4267,Gilmore Shared Living,KS,1
4267,LeFlore Shared Living,KS,1
