Survey Finding,Survey,Finding Category,Number,Penalty Amount,Description
788b1ad2-dfbd-4f65-8342-a88f76e4088a,dcf477c2-aef3-43aa-b33a-9abf6395966f,Person Centered Planning/Active Supports,MH Code 330.1748(1); SCCMHA Provider Manual; RR Policies and Procedures 06.02.04.00 Licensing Rules 1979 Amendment 400.712 pg 10,,Consumer closet full of staff  and consumer files. 
c58b2636-01fb-40c5-9943-10239e5a0a80,1e6d7caf-446b-4a2b-beb2-30eafc40de7d,Governing Body,"WAC 388-78A-2474, WAC 388-112A-0610",,Training and home care aide certification requirements.  Continuing education training.
776cd97c-e728-4461-ba49-4596adafd6a4,e2b4c6d7-0444-4a28-950c-d2dbba80dafb,Governing Body,"WAC 388-101 D-0087, WAC 388-101 D-0087, WAC 388-829-0085",,Long-term care worker requirements.                                                                                         What training is required for individuals hired or contracted to work in DOA community residential settings as a direct support professional (D5P) or ISS staff                                                                                                     How many hours of continuing education must DDA community residential staff complete each year  
816d59f1-e877-46db-8ae3-ce5751945067,dcf477c2-aef3-43aa-b33a-9abf6395966f,Person Centered Planning/Active Supports,SCCMHA Provider Manual; DCH/CMH Contract Section 6.7.1; MDCH Application for Participation,,Quality Improvement/Program Evaluation for the home did not include specific measurable goals with problems identified or plans of correction in place.
9195c649-bf85-4eea-929f-f99ddaf99ea7,dcf477c2-aef3-43aa-b33a-9abf6395966f,Person Centered Planning/Active Supports,SCCMHA Provider Manual; Competency Requirements for the SCCMHA Provider Network 05.06.03,,Provider not reviewing ongoing sanction checks; and did not check up on 3 references. 
c33cf6fd-ab05-475c-aeb9-a91d174168a5,1e6d7caf-446b-4a2b-beb2-30eafc40de7d,Governing Body,WAC 388-78A-2490                                               WAC 388-112A-0495 ,,Specialized training for developmental disabilities.    Long-term care workers' specialty training
0777702a-8608-4596-8b79-afc1635c3b34,f5105540-86b9-4c97-9197-a8955f9685f0,Governing Body,WAC 388-112A-0610                                        (2)(b)(c)(ii) ,,Continuing education requirements not met
bf19c328-61b6-43de-960a-6c571df0678f,1e6d7caf-446b-4a2b-beb2-30eafc40de7d,Governing Body,WAC 246-217-015                                     WAC 388-78A-2305 ,, All food service workers must obtain a food worker card within fourteen calendar days from the beginning of employment at a food service establishment. Food sanitation.
7949a2e8-56bb-4984-9161-7094f6c0cc06,f5105540-86b9-4c97-9197-a8955f9685f0,Governing Body,WAC 388-78A-2450                  {3){d){i){A)(B)(C){D){E)(ii),,Staff Training Records 
d0aa9cc7-0b25-4676-bc84-ddd514bd819e,dbd8ba63-65b6-43cb-8c82-8ab77ccffaed,Governing Body,Drug Administration-all drugs are administered without error,,Drug Administration
0b7bf47b-eccb-4735-8aa3-3c51ea0f86d9,dbd8ba63-65b6-43cb-8c82-8ab77ccffaed,Governing Body,Drug Administration-all drugs are administered without error,,Drug Administration
b1c47f5d-628d-437f-b7b0-f67e204d4428,dcf477c2-aef3-43aa-b33a-9abf6395966f,Person Centered Planning/Active Supports,SCCMHA Provider Manual Policy: Competency Requirements,,"No bi-annual review of trends, problem areas, process improvements or possible solutions to incident reports"
