Survey,State,State Survey Type,Survey Date,Received Date,Sanction,PoC Due Date,PoC Submit Date,Appeal Due Date,Appeal Submit Date,Comments
217a6a01-f1ce-4832-8455-9af5054e9f30,MI,MI - External Reported Incident - Complaint Investigation,12/17/2019,,,,,,,
4ddf6053-efb0-4e37-bb5d-ef9abbe1d767,CO,CO - External Reported Incident - Complaint Investigation,1/5/2018,,,,,,,4/25/2018
d942f4b1-f4ca-4fa2-abdb-89cfee244977,KS,KS - Life Safety|Fire - Fire Insp.,1/16/2018,,,,,,,
f2efa3ce-1113-4c6d-8781-9d7d0bdadd20,KS,KS - Life Safety|Fire - Fire Insp.,1/16/2018,,,,,,,
c5976dbf-3a6d-4d77-af5a-a557394eed31,KS,KS - Life Safety|Fire - Fire Insp.,1/16/2018,,,,,,,
75d4a311-3d04-4ee0-b9e3-72395ec4631c,KS,KS - HCBS - LIcensure,2/19/2018,,,,,,,3/13/2018
9f838a1f-7352-4885-9eca-2866d085cb29,CO,CO - ICF-Revisit - Revisit - ICF,2/7/2018,,,,,,,"Survey ID RUK812, revisit for recertification on 11/29/17"
c8a521b1-baf6-4450-9df1-9e18c77df518,CO,CO - ICF-Abbrev|Focused - Recertification - ICF,2/15/2018,,,,,,,Survey ID ONJI11
317ddb63-e4ac-4c4d-982b-a54de535cdbd,CO,CO - ICF-Full - State Licensure - ICF,2/15/2018,,,,,,,Survey ID RXSO11
6bace6d2-c484-4fb3-bdc5-a7a7d5d52358,CO,CO - ICF-Revisit - Revisit - ICF,3/8/2018,,,,,,,Survey ID RUK822
6abdda91-bd07-4bfd-8a33-dd0512edcc35,KS,KS - Conversion - KS - Conversion,9/20/2018,,Conditional Licensing,,,,,
ee03b8d1-2950-40d9-a5bc-d96df4ae720c,CO,CO - ICF-Revisit - Revisit - ICF,5/1/2018,,,,,,,"Survey ID ONJI12, revisit for ONJI11"
d0873d16-b7ea-464e-94c6-169bd7c25d96,CO,CO - ICF-Revisit - Revisit - ICF,5/1/2018,,,,,,,Survey ID RXS012
d0616665-568e-47b0-a065-46d4047a17c9,CO,CO - ICF-Revisit - Revisit - ICF,5/4/2018,,,,,,,
d719bddc-f56c-44a1-9ff7-f53c04471ba8,CO,CO - Life Safety|Fire - LIfe Safety,5/10/2018,,,,,,,Survey ID ONJ121
83191aac-35c1-4eba-8c79-7e9d71c75f30,CO,CO - Life Safety|Fire - LIfe Safety,5/10/2018,,,,,,,Survey ID GM0021
134f211e-c762-448e-9cb4-d74d391aa30a,CO,CO - Life Safety|Fire - LIfe Safety,5/10/2018,,,,,,,
85cc987b-e902-4c48-9926-f8c05502a734,KS,KS - HCBS - Revisit ,1/9/2019,,,,,,,
b054db58-ae57-49f0-9568-f44501445b8c,MN,MN - Contract|County - County Certification,2/6/2020,2/6/2020,,,,,,No citations.
cf0d78f1-2b57-4b3f-8be4-c39973cd4c96,MN,MN - Self Reported Investigation - DHS - Licensure,1/16/2019,,,,,,,No Citations
6aa2d212-4f8d-4ef3-a827-3b5394691fcd,MN,MN - Contract|County - County Certification,7/1/2019,,,,,,,
3254e3c6-eb09-4716-be70-01df7c4ec206,MN,MN - Contract|County - County Certification,11/22/2019,,,,,,,
7d21b453-33ce-4dd8-82a9-244046299b80,CA,CA - ICF-Abbrev|Focused - ICF - Focused Fundamental Recertification,1/10/2020,1/21/2020,,,,,,Annual re-certification survey
8b6471cd-f13d-4bb7-81b2-898517d97249,CO,CO - ICF-Full - State Licensure - ICF,5/17/2018,,,,,,,Survey ID 1CGT11
58af8cb1-8820-4db3-99c2-a8856f85b607,CO,CO - ICF-Full - State Licensure - ICF,5/17/2018,,,,,,,Survey ID GM0011
84f02d4d-eb87-4271-b006-de7815d9c1f8,CO,CO - ICF-Abbrev|Focused - Recertification - ICF,5/17/2018,,,,,,,Survey ID S9Z211
020e65eb-a634-4cc1-b21f-14928c332be3,CO,CO - ICF-Full - State Licensure - ICF,10/9/2018,10/22/2018,,,,,,Survey ID H1UM11
84e71ded-ce7e-4e00-ab89-9a9aaffc487b,CO,CO - Life Safety|Fire - LIfe Safety,10/16/2018,,,,,,,
691ebdcb-706e-4bd6-9753-db99b0816c79,CO,CO - ICF-Full - State Licensure - ICF,10/31/2018,,,,,,,Survey ID QLIF11
2ef4d026-d972-4ff4-b538-f75db95ee107,CO,CO - Life Safety|Fire - LIfe Safety,12/26/2018,,,,,,,
1c18f372-23ad-4f1c-9298-0248122a1261,CO,CO - Life Safety|Fire - LIfe Safety,12/26/2018,,,,,,,
c737993f-018f-4c1f-881c-c8cb8278f028,CO,CO - ICF-Abbrev|Focused - Recertification - ICF,2/14/2019,,,,,,,
4068a474-73ed-4c96-accd-1aab035c3531,CO,CO - ICF-Full - State Licensure - ICF,2/14/2019,,,,,,,
c6d2f71e-17d0-4676-8d83-c020ddb60443,CO,CO - ICF-Full - State Licensure - ICF,5/2/2019,,,,,,,
8e9d5ef9-2f77-4b48-969e-6a6a8a97e704,CO,CO - ICF-Abbrev|Focused - Recertification - ICF,5/2/2019,,,,,,,
3bd36f47-0e20-4f4f-905b-cbb71a3e214f,CO,CO - ICF-Full - State Licensure - ICF,5/2/2019,,,,,,,
e99b34b9-03f2-467b-9234-6b0f83100ef5,CO,CO - ICF-Revisit - Revisit - ICF,5/2/2019,,,,,,,
6a238d5b-bf6d-459b-8860-15e3a5113559,CO,CO - ICF-Revisit - Revisit - ICF,5/2/2019,,,,,,,
